tweets,label
awit sa kilala kong nag positive sa covid tas nag titinda padin ng pagkain sa baclaran :-( ang dami nyong idadamay girl maawa kayo,-1
"PARTY PA MORE!!!! So would @officialTIMYAP ‘s apology help lessen that case of covid positive? 

Baguio numbahwan! https://t.co/LZ55V2mPwl",0
yung dinaan na lang sa pagkain yung pagkamiss na magtravel hayz.. :(..ito lang kaya ng budget sa ngayon...ipon mode… https://t.co/axsSKuuZnu,-1
"12 confirmed COVID cases of UK Variant in Bontoc. Tapos sabi nung tagapagsalita dun sa taas,  pwede na daw lumabas… https://t.co/nwwQDt51VS",0
Covid ba talaga dahilan? Kapag pala 8pm na don umaatake yung Covid? ganon ba yon?,0
"i literally miss going out without using facemask and shield, napakahassle nila gamitin lalo na may salamin ako but… https://t.co/AmnUfwILyz",-1
Goddamn COVID. RIP Sekou Smith. Your influence on my writing style when i was the Sports Editor of my university pa… https://t.co/es1N4V1kNH,-1
@AndayaNeil covid,0
Sobrang delikado ng ginawa mo kahit saang banda mo tignan. Hindi lang sa banta ng covid maging sa kaligtasan ng lah… https://t.co/RA5e6EmiPA,-1
"nakakapagod na ang covid pero mas nakakapagod na ang gobyerno in all aspect.

🙄🙄🙄",-1
May covid mga bakla! 🙄🙄🙄 https://t.co/eFk5escPfS,0
I had a stressful day today. Sinita ko lang ang nanay ko 80yo na tumatakas para sumamba sa religion nya. Wala daw a… https://t.co/EbmSZDCcCM,-1
"Six more personnel from the MRT 3's maintenance service provider tested positive for COVID-19, bringing total numbe… https://t.co/zVIGb7veGK",-1
"JUST IN: MRT3 depot placed under ""enhanced access control"" after 36 personnel tested positive for COVID-19, Transportation department says.",-1
@_mdnghtsky covid,0
"wanna join this certain choir, but im still hesitant to rehearse with covid still around.",0
Tulong pinansiyal hiling ng pamilya: Juan dela Cruz member Wally tinamaan ng COVID-19 @AbanteNews https://t.co/4ON05N9ClO,0
"goin to celebrate my birthday, may Covid pa rin hayss 2021 anonaaaa",-1
@hanahtabios Not anymore. Jan5 pa ako uya sa Manila. Pero it saddens me that it is infected with Covid already. I d… https://t.co/KTRoi3MdV0,-1
"And the senator who put the lives of others at risk for COVID-19 get ""compassion""? How is this fair? That kariton m… https://t.co/ppfBtm7qno",0
covid pls go away so mewgulf doesnt have to forcefully socially distance each other...  #MewGulfFanmeetxYvesRocher,-1
"Yung hanggang picture ka nalang sa labas ng office nyo. 

Pakyu covid https://t.co/7ta7L1go2f",-1
My sister has no fever as of our last chat awhile ago but she still has body pain and headache. Appetite has not re… https://t.co/XxuOcQrVVv,-1
